,mjd,mag,magerr
0,51081.416961,18.546,0.009
1,51818.402927,18.476,0.009
2,51875.23192,18.387,0.008
3,52171.391022,18.451,0.009
4,52171.464344,18.45,0.008
5,52173.367375,18.441,0.009
6,52224.347478,18.413,0.009
7,52225.312792,18.427,0.008
8,52234.303945,18.422,0.009
9,52261.267299,18.405,0.008
10,52283.134674,18.398,0.009
11,52287.147797,18.402,0.008
12,52288.147216,18.396,0.008
13,52551.420501,18.417,0.008
14,52552.466488,18.419,0.008
15,52557.440847,18.407,0.009
16,52558.453374,18.394,0.008
17,52578.324984,18.415,0.008
18,52585.287963,18.416,0.008
19,52585.342177,18.404,0.009
20,52908.415415,18.396,0.008
21,52909.454596,18.4,0.008
22,52910.42484,18.387,0.008
23,52912.394855,18.369,0.008
24,52934.347323,18.397,0.009
25,52935.352008,18.39,0.008
26,52936.343248,18.397,0.008
27,52963.275088,18.387,0.008
28,53270.407326,18.455,0.017
29,53272.457245,18.447,0.008
30,53286.425965,18.456,0.009
31,53288.384459,18.442,0.008
32,53294.432131,18.448,0.008
33,53296.379163,18.456,0.016
34,53298.428907,18.464,0.009
35,53302.380128,18.45,0.01
36,53312.335664,18.452,0.012
37,53314.336859,18.473,0.009
38,53319.324656,18.456,0.009
39,53351.197393,18.452,0.009
40,53616.44121,18.517,0.009
41,53622.45444,18.527,0.009
42,53626.417639,18.532,0.009
43,53627.411538,18.526,0.009
44,53628.402503,18.526,0.01
45,53634.403912,18.526,0.012
46,53638.445248,18.517,0.01
47,53639.449499,18.553,0.009
48,53640.409284,18.518,0.009
49,53641.448664,18.541,0.01
50,53643.451758,18.545,0.009
51,53646.47069,18.537,0.009
52,53657.407549,18.518,0.012
53,53657.453725,18.546,0.009
54,53663.471107,18.521,0.014
55,53664.406413,18.508,0.022
56,53665.370069,18.55,0.01
57,53665.471038,18.515,0.012
58,53666.46218,18.548,0.01
59,53668.381699,18.527,0.011
60,53668.459655,18.551,0.012
61,53669.365659,18.545,0.01
62,53669.469307,18.56,0.011
63,53670.38655,18.535,0.012
64,53670.465627,18.555,0.013
65,53671.450405,18.552,0.01
66,53673.354538,18.55,0.009
67,53674.349896,18.541,0.01
68,53675.351426,18.544,0.009
69,53676.439348,18.568,0.011
70,53679.411252,18.555,0.01
71,53680.359123,18.55,0.009
72,53681.402766,18.558,0.01
73,53683.417672,18.563,0.017
74,53686.358554,18.555,0.012
75,53687.305579,18.581,0.016
76,53693.361012,18.546,0.015
77,53694.375725,18.559,0.013
78,53696.368484,18.559,0.011
79,53697.359792,18.552,0.01
80,53699.381849,18.564,0.01
81,53700.358747,18.531,0.01
82,53704.344334,18.55,0.01
83,53705.345418,18.574,0.01
84,53975.430483,18.501,0.019
85,53989.44041,18.481,0.019
86,53994.453485,18.473,0.014
87,53996.437161,18.475,0.019
88,53997.463941,18.506,0.014
89,54000.415867,18.498,0.015
90,54005.450318,18.495,0.014
91,54007.46598,18.531,0.02
92,54009.389733,18.513,0.014
93,54009.464161,18.492,0.015
94,54010.391302,18.485,0.018
95,54011.454247,18.497,0.011
96,54012.384169,18.487,0.014
97,54012.467034,18.515,0.023
98,54019.449259,18.48,0.012
99,54020.42227,18.495,0.015
100,54024.471749,18.504,0.019
101,54025.453248,18.501,0.018
102,54028.46001,18.491,0.014
103,54030.415432,18.467,0.015
104,54035.459386,18.511,0.02
105,54037.364932,18.493,0.015
106,54040.379457,18.505,0.014
107,54041.414887,18.487,0.016
108,54047.409933,18.454,0.02
109,54049.405986,18.531,0.018
110,54050.366108,18.539,0.017
111,54056.371853,18.473,0.018
112,54059.366338,18.49,0.027
113,54061.377243,18.53,0.034
114,54062.37099,18.504,0.019
115,54064.367491,18.489,0.016
116,54068.351737,18.454,0.037
117,54346.447083,18.385,0.02
118,54348.450997,18.442,0.013
119,54357.409342,18.443,0.031
120,54358.406843,18.43,0.018
121,54362.459115,18.446,0.02
122,54365.439871,18.391,0.019
123,54376.454201,18.401,0.011
124,54381.459473,18.397,0.014
125,54382.439384,18.398,0.024
126,54385.457173,18.395,0.011
127,54386.451744,18.429,0.014
128,54387.457673,18.405,0.029
129,54388.456025,18.389,0.014
130,54390.450095,18.415,0.02
131,54391.45868,18.402,0.017
132,54392.453599,18.384,0.019
133,54402.450904,18.447,0.016
134,54403.369808,18.382,0.014
135,54404.427533,18.417,0.01
136,54406.363634,18.402,0.013
137,54409.368488,18.384,0.018
138,54412.38945,18.41,0.021
