,mjd,mag,magerr
0,51075.422538,18.619,0.009
1,51818.392194,18.858,0.01
2,51819.477358,18.811,0.011
3,51875.221175,18.754,0.009
4,52171.380334,18.682,0.01
5,52171.45364,18.608,0.009
6,52173.356582,18.638,0.01
7,52224.336696,18.658,0.01
8,52225.302051,18.595,0.009
9,52234.293202,18.68,0.01
10,52261.256559,18.679,0.009
11,52283.12393,18.733,0.011
12,52287.137054,18.713,0.01
13,52288.136473,18.646,0.009
14,52551.40976,18.92,0.011
15,52552.455747,18.911,0.011
16,52557.430107,18.912,0.011
17,52558.442633,18.9,0.011
18,52578.314242,18.816,0.01
19,52585.277223,18.911,0.011
20,52585.331437,18.929,0.011
21,52908.404675,18.911,0.011
22,52910.414098,18.88,0.01
23,52912.384113,18.931,0.011
24,52934.33658,18.924,0.011
25,52935.341269,18.928,0.011
26,52936.332507,18.909,0.011
27,52963.264347,18.921,0.01
28,52971.255262,18.892,0.011
29,53270.396644,18.949,0.016
30,53272.446506,18.921,0.011
31,53286.415225,18.973,0.013
32,53288.373717,18.971,0.011
33,53296.368416,18.964,0.017
34,53298.418166,18.966,0.012
35,53302.369387,18.943,0.014
36,53312.325053,18.989,0.018
37,53314.326118,19.004,0.014
38,53319.313915,18.964,0.013
39,53351.186651,19.005,0.013
40,53616.430469,19.058,0.013
41,53622.4437,19.005,0.011
42,53626.406896,19.123,0.014
43,53627.400798,19.013,0.011
44,53628.391761,19.003,0.015
45,53634.393171,18.979,0.018
46,53638.434509,19.02,0.012
47,53639.438758,19.036,0.012
48,53640.398544,19.02,0.012
49,53641.437923,19.026,0.012
50,53643.441007,19.016,0.012
51,53646.459951,19.015,0.014
52,53657.278696,19.03,0.031
53,53657.396809,19.083,0.019
54,53663.381357,19.018,0.017
55,53663.460371,18.974,0.018
56,53664.395674,19.001,0.019
57,53665.359328,19.045,0.015
58,53665.460304,19.008,0.015
59,53666.451441,19.012,0.014
60,53668.370957,19.093,0.015
61,53668.448919,18.987,0.016
62,53669.354919,18.992,0.012
63,53669.458568,19.038,0.015
64,53670.375809,19.023,0.014
65,53670.454893,19.039,0.014
66,53671.439668,19.012,0.013
67,53673.343797,19.009,0.011
68,53674.339156,19.01,0.013
69,53675.340684,19.026,0.012
70,53676.42861,18.965,0.013
71,53679.400513,18.994,0.013
72,53680.348382,19.024,0.012
73,53681.392027,18.973,0.012
74,53684.353524,18.954,0.03
75,53686.347813,19.037,0.018
76,53687.29484,19.123,0.039
77,53693.350272,19.025,0.021
78,53696.357745,18.981,0.013
79,53697.349052,18.939,0.012
80,53699.371109,18.977,0.012
81,53700.348008,18.946,0.012
82,53704.333593,18.989,0.012
83,53705.334679,18.949,0.012
84,53975.419743,18.773,0.016
85,53989.42967,18.813,0.017
86,53994.442782,18.773,0.027
87,53997.453203,18.804,0.015
88,54005.43957,18.84,0.034
89,54007.455236,18.785,0.018
90,54009.379043,18.775,0.017
91,54009.453414,18.771,0.015
92,54010.380546,18.758,0.021
93,54011.44347,18.775,0.014
94,54012.373382,18.72,0.016
95,54012.456368,18.782,0.034
96,54019.438587,18.786,0.017
97,54020.411467,18.737,0.02
98,54024.460984,18.712,0.032
99,54025.442544,18.792,0.018
100,54028.449228,18.715,0.03
101,54030.404687,18.727,0.016
102,54035.448696,18.749,0.022
103,54037.354149,18.727,0.019
104,54040.368713,18.719,0.013
105,54041.404153,18.735,0.012
106,54047.399294,18.767,0.056
107,54049.395115,18.743,0.015
108,54050.355278,18.743,0.025
109,54053.374799,18.728,0.026
110,54056.3611,18.779,0.023
111,54059.355357,18.771,0.027
112,54062.360264,18.724,0.012
113,54064.356723,18.738,0.014
114,54068.340839,18.751,0.029
115,54346.436288,18.667,0.022
116,54348.44025,18.669,0.016
117,54357.398599,18.63,0.03
118,54358.396047,18.675,0.036
119,54365.429156,18.646,0.021
120,54376.443463,18.612,0.015
121,54381.448732,18.68,0.033
122,54382.428689,18.677,0.033
123,54385.446377,18.64,0.021
124,54386.441001,18.673,0.023
125,54387.446964,18.756,0.025
126,54388.445285,18.648,0.03
127,54391.447742,18.712,0.026
128,54392.442858,18.586,0.036
129,54402.440047,18.675,0.032
130,54403.359138,18.675,0.017
131,54406.352887,18.654,0.017
132,54409.357743,18.669,0.021
133,54412.378713,18.696,0.018
