,mjd,mag,magerr
0,51075.438598,19.955,0.023
1,51818.408243,19.88,0.02
2,51875.23728,19.935,0.022
3,52171.396364,20.011,0.022
4,52171.469701,20.015,0.021
5,52173.372608,20.028,0.024
6,52224.352792,19.976,0.02
7,52225.318109,19.99,0.02
8,52234.309261,19.987,0.024
9,52261.272615,19.934,0.02
10,52283.139991,19.931,0.028
11,52287.153113,19.988,0.023
12,52288.152533,19.936,0.022
13,52551.425818,20.003,0.022
14,52552.471805,19.98,0.02
15,52557.446164,19.971,0.022
16,52558.45869,19.994,0.02
17,52578.3303,19.983,0.019
18,52585.293281,19.999,0.023
19,52585.347493,19.96,0.019
20,52908.420731,19.965,0.022
21,52909.459913,20.005,0.02
22,52910.430155,19.95,0.021
23,52912.40017,19.95,0.021
24,52934.352638,19.914,0.022
25,52935.357326,20.003,0.023
26,52936.348565,19.955,0.021
27,52963.280404,20.005,0.02
28,53270.412613,20.065,0.019
29,53272.462562,20.08,0.022
30,53286.431282,20.022,0.023
31,53288.389774,20.009,0.023
32,53294.437446,19.96,0.022
33,53296.384451,19.995,0.028
34,53298.434223,20.027,0.027
35,53302.385444,19.924,0.025
36,53312.340979,20.018,0.03
37,53314.342175,19.991,0.026
38,53319.329972,19.955,0.028
39,53351.202708,19.996,0.027
40,53616.446526,19.736,0.021
41,53622.459757,19.774,0.016
42,53627.416855,19.713,0.018
43,53628.407819,19.744,0.025
44,53634.409228,19.71,0.045
45,53638.450565,19.677,0.025
46,53640.414601,19.713,0.02
47,53641.45398,19.665,0.022
48,53643.457076,19.746,0.021
49,53646.476008,19.706,0.02
50,53657.412865,19.688,0.025
51,53657.459042,19.727,0.02
52,53663.397414,19.639,0.03
53,53663.476425,19.669,0.039
54,53664.41173,19.688,0.079
55,53665.375386,19.677,0.023
56,53665.476356,19.672,0.029
57,53666.467495,19.604,0.023
58,53668.387015,19.681,0.027
59,53668.464973,19.642,0.028
60,53669.370976,19.705,0.022
61,53669.474622,19.654,0.029
62,53670.391866,19.691,0.026
63,53670.470945,19.678,0.026
64,53671.455722,19.724,0.02
65,53673.359854,19.72,0.017
66,53674.355214,19.694,0.024
67,53675.356741,19.691,0.02
68,53676.444665,19.785,0.027
69,53676.476388,19.724,0.063
70,53679.416569,19.66,0.021
71,53680.364439,19.663,0.022
72,53681.408083,19.726,0.022
73,53683.422988,19.732,0.041
74,53684.369581,19.725,0.046
75,53686.36387,19.718,0.028
76,53687.310897,19.736,0.044
77,53693.366329,19.662,0.039
78,53696.373801,19.717,0.021
79,53697.365108,19.736,0.022
80,53699.387164,19.696,0.021
81,53700.364065,19.736,0.02
82,53704.349649,19.699,0.021
83,53705.350734,19.754,0.024
84,53975.435747,19.77,0.025
85,53989.445704,19.81,0.03
86,53994.458749,19.751,0.022
87,53996.442466,19.761,0.026
88,53997.469289,19.754,0.025
89,54000.421124,19.789,0.026
90,54005.455645,19.739,0.018
91,54007.471269,19.735,0.017
92,54009.39508,19.775,0.021
93,54009.469461,19.741,0.018
94,54010.396585,19.742,0.019
95,54011.459535,19.762,0.024
96,54012.389445,19.725,0.027
97,54012.472353,19.729,0.021
98,54019.454541,19.728,0.024
99,54020.427503,19.769,0.027
100,54024.476995,19.754,0.025
101,54025.458593,19.77,0.025
102,54028.465286,19.704,0.02
103,54030.420715,19.76,0.022
104,54035.464706,19.811,0.027
105,54037.370215,19.724,0.017
106,54040.38472,19.711,0.017
107,54041.420215,19.745,0.019
108,54047.415223,19.818,0.044
109,54049.411155,19.768,0.028
110,54050.371318,19.747,0.041
111,54053.390786,19.718,0.024
112,54056.377138,19.732,0.022
113,54059.371415,19.706,0.022
114,54061.382514,19.682,0.025
115,54062.37631,19.703,0.018
116,54064.372763,19.749,0.023
117,54068.356933,19.756,0.034
118,54346.452325,19.542,0.024
119,54348.456283,19.557,0.023
120,54357.414632,19.436,0.021
121,54358.412129,19.52,0.021
122,54362.464441,19.455,0.016
123,54365.445185,19.469,0.016
124,54376.459528,19.468,0.019
125,54381.464768,19.485,0.02
126,54382.444648,19.481,0.02
127,54385.462433,19.488,0.022
128,54386.457094,19.521,0.022
129,54387.462953,19.505,0.022
130,54388.461321,19.48,0.02
131,54391.463781,19.516,0.028
132,54392.458894,19.485,0.022
133,54402.456097,19.532,0.038
134,54403.375112,19.499,0.062
135,54404.432721,19.481,0.132
136,54406.368984,19.523,0.019
137,54409.373778,19.527,0.019
138,54412.394702,19.497,0.025
