,mjd,mag,magerr
0,51081.408267,19.398,0.016
1,51818.394207,19.091,0.011
2,51875.223186,19.053,0.012
3,52171.382313,19.085,0.012
4,52171.455609,19.066,0.012
5,52173.358566,19.079,0.013
6,52224.338778,19.122,0.012
7,52225.304059,19.095,0.012
8,52234.295211,19.183,0.013
9,52261.258567,19.125,0.012
10,52283.12594,19.112,0.013
11,52287.139062,19.121,0.013
12,52288.138481,19.093,0.012
13,52551.411768,19.106,0.012
14,52552.457756,19.152,0.012
15,52557.432114,19.163,0.013
16,52558.44464,19.12,0.012
17,52578.316249,19.105,0.011
18,52585.27923,19.124,0.013
19,52585.333444,19.134,0.011
20,52908.406683,19.058,0.011
21,52909.445862,19.014,0.011
22,52910.416105,19.0,0.012
23,52912.386122,19.03,0.011
24,52934.338589,19.031,0.011
25,52935.343276,18.995,0.012
26,52936.334515,19.046,0.011
27,52963.266355,19.044,0.011
28,53270.398626,19.137,0.018
29,53272.448513,19.171,0.013
30,53286.417233,19.1,0.013
31,53288.375727,19.129,0.012
32,53294.423397,19.156,0.018
33,53296.370444,19.103,0.019
34,53298.420174,19.131,0.013
35,53302.371396,19.129,0.015
36,53312.326958,19.121,0.016
37,53314.328126,19.164,0.014
38,53319.315922,19.136,0.014
39,53351.188659,19.066,0.013
40,53616.432478,19.026,0.012
41,53622.445708,19.018,0.011
42,53626.408906,19.046,0.014
43,53627.402805,19.02,0.011
44,53628.39377,19.029,0.014
45,53634.395178,18.981,0.017
46,53638.436514,18.994,0.012
47,53639.440767,19.066,0.012
48,53640.400551,19.01,0.012
49,53641.439932,19.039,0.012
50,53643.443026,18.972,0.012
51,53646.461958,19.022,0.012
52,53657.280704,18.97,0.028
53,53657.398816,19.014,0.019
54,53663.383364,19.055,0.016
55,53663.462375,19.013,0.02
56,53664.39768,19.015,0.019
57,53665.361337,19.034,0.014
58,53665.462307,19.005,0.016
59,53666.453447,19.008,0.015
60,53668.372965,19.074,0.015
61,53668.450924,18.975,0.015
62,53669.356925,18.975,0.013
63,53669.460575,19.078,0.016
64,53670.377818,19.049,0.013
65,53670.456896,19.004,0.014
66,53671.441673,18.966,0.013
67,53673.345805,19.045,0.011
68,53674.341163,18.979,0.013
69,53675.342692,19.027,0.012
70,53676.430615,18.963,0.014
71,53679.402519,18.937,0.013
72,53680.35039,19.03,0.012
73,53681.394033,18.983,0.012
74,53683.40894,19.057,0.038
75,53684.355531,18.978,0.036
76,53686.349822,19.029,0.018
77,53687.296845,18.892,0.026
78,53687.407204,19.046,0.033
79,53693.35228,19.017,0.019
80,53694.366987,18.955,0.017
81,53696.359751,19.013,0.014
82,53697.35106,18.957,0.013
83,53699.373116,19.036,0.013
84,53700.350014,18.935,0.012
85,53704.335601,18.989,0.012
86,53705.336685,18.979,0.013
87,53975.421713,18.951,0.014
88,53989.431793,18.999,0.018
89,53994.444689,18.931,0.018
90,53996.428447,18.925,0.017
91,53997.455256,18.994,0.016
92,54000.407071,19.009,0.017
93,54005.441596,18.893,0.017
94,54007.457213,19.007,0.019
95,54009.380995,18.99,0.017
96,54009.455412,18.931,0.017
97,54010.382577,18.957,0.017
98,54011.445548,18.974,0.015
99,54012.375406,18.95,0.02
100,54012.458288,19.047,0.016
101,54019.44049,19.011,0.017
102,54020.413453,18.897,0.017
103,54024.462968,18.941,0.017
104,54025.444594,18.974,0.019
105,54028.451241,18.915,0.017
106,54030.40667,18.918,0.012
107,54035.450708,18.945,0.02
108,54037.356164,18.92,0.016
109,54040.37067,18.938,0.018
110,54041.406178,18.906,0.018
111,54047.401261,18.94,0.037
112,54049.397081,18.897,0.019
113,54050.357298,18.925,0.02
114,54056.363105,18.946,0.017
115,54059.357378,18.916,0.015
116,54061.368462,18.948,0.026
117,54062.362259,18.936,0.016
118,54064.358727,18.936,0.016
119,54068.342846,18.919,0.017
120,54346.438319,18.969,0.016
121,54348.442232,18.96,0.014
122,54357.40057,18.915,0.03
123,54358.398078,18.96,0.021
124,54362.450403,18.899,0.017
125,54365.431155,18.914,0.017
126,54376.445491,18.914,0.016
127,54381.450694,18.955,0.015
128,54382.430587,18.934,0.035
129,54385.448397,18.952,0.02
130,54386.44306,18.991,0.016
131,54387.44891,18.921,0.016
132,54388.447365,18.978,0.015
133,54390.441288,18.935,0.032
134,54391.449709,18.939,0.021
135,54392.444982,18.972,0.022
136,54402.44209,18.874,0.024
137,54403.361066,18.938,0.019
138,54406.354949,18.957,0.017
139,54409.359812,18.955,0.015
140,54412.380653,18.926,0.017
