,mjd,mag,magerr
0,51075.435413,20.285,0.029
1,51818.405041,19.831,0.02
2,51875.234076,19.85,0.021
3,52171.393169,20.292,0.026
4,52171.466498,20.28,0.026
5,52173.369429,20.251,0.031
6,52224.349563,20.215,0.023
7,52225.314923,20.142,0.025
8,52234.306074,20.187,0.028
9,52261.269428,20.139,0.023
10,52283.136803,20.085,0.031
11,52287.149926,20.066,0.024
12,52288.149346,20.126,0.025
13,52551.422631,20.138,0.028
14,52552.468617,20.096,0.023
15,52557.442976,20.059,0.025
16,52558.455504,20.045,0.023
17,52578.327113,20.128,0.022
18,52585.290093,20.143,0.025
19,52585.344306,20.11,0.021
20,52908.417545,20.156,0.026
21,52909.456725,20.181,0.024
22,52910.426968,20.188,0.029
23,52912.396984,20.167,0.023
24,52934.349453,20.22,0.028
25,52935.354139,20.331,0.033
26,52936.345378,20.274,0.026
27,52963.277218,20.401,0.029
28,53270.409492,20.089,0.019
29,53272.459374,20.043,0.022
30,53286.428095,20.168,0.026
31,53288.38659,20.094,0.023
32,53294.43426,20.185,0.033
33,53296.381293,20.142,0.036
34,53298.431037,20.053,0.029
35,53302.382258,20.103,0.03
36,53312.337815,20.099,0.03
37,53314.338988,20.115,0.03
38,53319.326785,20.034,0.03
39,53351.199523,20.112,0.027
40,53616.44334,20.175,0.029
41,53622.456571,20.195,0.021
42,53626.419767,20.114,0.027
43,53627.413669,20.179,0.025
44,53628.404632,20.135,0.033
45,53634.406041,20.088,0.047
46,53638.447378,20.154,0.034
47,53639.451628,20.017,0.025
48,53640.411415,20.121,0.029
49,53641.450793,20.106,0.029
50,53643.453888,20.089,0.03
51,53646.472823,20.148,0.028
52,53657.409678,20.17,0.039
53,53657.455842,20.106,0.027
54,53663.394227,20.005,0.044
55,53663.473237,20.102,0.052
56,53664.408543,19.807,0.138
57,53665.372199,20.097,0.032
58,53665.47317,20.146,0.05
59,53668.383828,20.104,0.035
60,53668.461786,20.016,0.041
61,53669.36779,20.046,0.031
62,53669.471434,20.057,0.036
63,53670.388679,19.995,0.041
64,53670.467756,20.089,0.049
65,53671.452534,20.127,0.028
66,53673.356668,20.041,0.021
67,53674.352028,20.109,0.031
68,53675.353555,20.003,0.027
69,53676.441477,20.133,0.034
70,53676.4732,20.131,0.095
71,53679.413382,20.061,0.03
72,53680.361252,20.084,0.024
73,53681.404896,20.064,0.029
74,53683.419801,20.088,0.064
75,53684.366394,20.08,0.042
76,53686.360683,20.036,0.04
77,53687.30771,19.927,0.054
78,53693.363142,20.009,0.049
79,53696.370614,20.041,0.032
80,53697.361922,20.118,0.03
81,53699.383977,20.003,0.026
82,53700.360877,20.115,0.028
83,53704.346463,20.027,0.027
84,53705.347549,20.021,0.032
85,53975.43258,20.394,0.072
86,53989.442532,20.245,0.043
87,53994.455581,20.303,0.03
88,53996.439317,20.24,0.034
89,53997.466092,20.278,0.025
90,54000.41797,20.293,0.032
91,54005.452443,20.287,0.028
92,54007.468126,20.27,0.026
93,54009.391906,20.196,0.022
94,54009.466263,20.308,0.028
95,54010.393408,20.254,0.025
96,54011.456412,20.244,0.022
97,54012.386241,20.379,0.039
98,54012.469199,20.309,0.034
99,54019.451356,20.271,0.055
100,54020.424295,20.25,0.042
101,54024.47381,20.244,0.042
102,54025.455395,20.252,0.035
103,54028.462096,20.266,0.032
104,54030.417529,20.249,0.027
105,54035.461538,20.264,0.035
106,54037.367018,20.294,0.026
107,54040.381519,20.244,0.026
108,54041.417048,20.271,0.03
109,54047.412045,20.381,0.073
110,54049.407988,20.274,0.049
111,54053.387846,20.252,0.035
112,54056.373956,20.28,0.031
113,54059.368259,20.2,0.034
114,54064.36959,20.207,0.031
115,54068.353696,20.14,0.038
116,54346.449122,20.101,0.035
117,54348.453126,20.145,0.027
118,54357.411441,20.166,0.032
119,54358.408923,20.148,0.027
120,54362.461261,20.149,0.023
121,54365.441992,20.078,0.021
122,54376.456364,20.16,0.035
123,54381.46156,20.132,0.028
124,54382.441479,20.101,0.028
125,54385.459278,20.193,0.027
126,54386.453891,20.169,0.021
127,54387.459743,20.137,0.029
128,54388.458148,20.016,0.023
129,54391.460626,20.039,0.048
130,54392.455721,20.053,0.026
131,54402.45293,20.146,0.05
132,54404.429516,20.032,0.14
133,54406.365788,20.096,0.022
134,54409.37064,20.09,0.023
135,54412.391573,20.128,0.034
