time,cont,conterr
-2.0,0.09523809523810378,0.007
-1.11499000682511,-2.0,0.006
-1.0467468745116546,-1.699248120300744,0.006
-0.6911040601931371,-0.6365914786967293,0.006
-0.6910160090289486,-0.7167919799498879,0.006
-0.6887306295582027,-0.37593984962405247,0.006
-0.6263520885717462,-0.4962406015037548,0.006
-0.6155550589358099,-0.3258145363408549,0.006
-0.5831760974175009,-0.5263157894736805,0.006
-0.5569166533833037,-0.5162907268170267,0.007
-0.5520974913047794,-0.44611528822055746,0.008
-0.550897338469891,-0.6466165413533829,0.006
-0.2347454724922453,-0.8972431077694061,0.006
-0.23348939724906304,-1.0175438596491084,0.006
-0.22751593561224803,-0.9573934837092573,0.007
-0.2263000444303278,-1.2882205513784388,0.007
-0.20243721104882817,-1.4185463659147595,0.006
-0.1940757128320949,-1.4586466165413388,0.006
-0.1940106099215091,-1.1979949874686622,0.007
0.19395206005226795,1.0676691729323418,0.007
0.1951999599050418,1.0075187969924904,0.007
0.19636507552404847,0.7669172932330852,0.006
0.1987307714807276,1.0977443609022672,0.007
0.2250924018906879,1.1278195488721572,0.007
0.22629888080616434,0.7167919799498881,0.007
0.22748921068372852,1.0877192982456134,0.007
0.2598303249959102,0.7268170426065059,0.007
0.2694262195012249,1.1278195488721572,0.006
0.6286502510963761,1.609022556390967,0.013
0.6311118842026731,1.7694235588972131,0.007
0.647886229004766,1.6691729323308184,0.007
0.6502380851590961,1.609022556390967,0.007
0.6598385020675055,1.7192982456140156,0.013
0.6622999682555744,1.5388471177944618,0.007
0.6670447916821041,1.5288220551378084,0.008
0.6789999323759077,1.5187969924811902,0.01
0.6814030396299651,1.4486215538846854,0.007
0.6873926370953405,1.197994987468662,0.007
1.0441852093554393,1.7894736842105208,0.007
1.0514061997822113,1.7593984962405949,0.007
1.0561654093980826,1.779448621553867,0.007
1.057358933538043,1.5989974937343132,0.007
1.0585489343825647,1.7092731829573977,0.007
1.065755728354382,1.5789473684210416,0.009
1.0706087700288882,1.4786967418546109,0.007
1.0718147253735313,1.7894736842105208,0.007
1.0729672836985507,1.4786967418546109,0.007
1.0742154237214332,1.6290726817042387,0.007
1.0766208402110617,1.6290726817042387,0.007
1.0802461263004148,1.5989974937343132,0.008
1.0933796592166685,1.4987468671678825,0.008
1.1005662068485709,1.8997493734335338,0.008
1.1017842487537917,1.5889724310776594,0.009
1.1029414555712096,1.8796992481202621,0.008
1.103062707850829,1.6290726817042387,0.008
1.1042529188441854,1.2882205513784388,0.007
1.106557971849151,1.779448621553867,0.007
1.1066515889555473,1.6090225563909315,0.008
1.1077395607357086,1.68922305764409,0.007
1.1078640300938916,1.9197994987468414,0.008
1.108965499434008,1.7694235588972131,0.007
1.1090604626938485,1.528822055137844,0.007
1.1102430326752883,1.5989974937343132,0.007
1.1125296093940151,1.9899749373433462,0.007
1.1137248843740544,1.6290726817042387,0.007
1.1149275722044028,1.8796992481202976,0.007
1.1162340075162152,1.7192982456140156,0.008
1.117354527149125,1.9197994987468414,0.007
1.1198028176051942,1.588972431077695,0.007
1.1209410677961564,1.7694235588972131,0.007
1.122194329446549,1.6491228070175108,0.008
1.124613931583474,2.0,0.01
1.1257506434849125,1.7393483709272877,0.012
1.1281454888873377,1.9999999999999645,0.008
1.129282723158758,1.5288220551378084,0.011
1.129415249023142,1.6791979949874363,0.017
1.136554394281255,1.7694235588972131,0.009
1.137772904518183,1.6791979949874363,0.009
1.140165918623552,1.609022556390967,0.007
1.1413563313597956,1.4887218045112647,0.007
1.1437845219797116,1.7994987468671386,0.007
1.1449576292589856,1.5588972431077694,0.007
1.1497437223156384,1.6390977443608925,0.007
1.1509458745666619,1.5488721804511156,0.007
1.4752775836998162,1.1578947368420827,0.021
1.4921014960092012,1.5288220551378084,0.016
1.4981214677878576,1.1278195488721572,0.012
1.5005035757687164,1.3283208020049826,0.018
1.5017366979548834,1.5187969924811902,0.012
1.5113270613426586,1.0676691729323418,0.01
1.5137476613863794,1.6190476190475853,0.018
1.5160577135320943,1.5889724310776594,0.017
1.5161470099782837,1.2681704260651316,0.011
1.5185368382271949,1.5689223057643877,0.013
1.5196534466899272,1.027568922305762,0.012
1.5197530800574661,1.68922305764409,0.013
1.5281375949762968,1.388471177944834,0.014
1.5293059396823767,1.388471177944834,0.009
1.534168803113356,1.3283208020049826,0.017
1.5353475327748058,1.5388471177944618,0.012
1.5389582081157709,1.0476190476190341,0.014
1.5413063560436702,1.0275689223057265,0.014
1.547363440107926,1.6791979949874363,0.017
1.5496517412480104,1.197994987468662,0.015
1.5532716415227434,1.0476190476190341,0.01
1.5545152435314695,1.1478696741854288,0.011
1.5617146870971998,1.7894736842104852,0.035
1.5641110371653406,1.0175438596491087,0.011
1.5652640626212166,1.057644110275688,0.013
1.5724761499421667,1.0676691729323418,0.01
1.576071818254075,1.3082706766916754,0.016
1.5784868175309281,1.0676691729323058,0.03
1.5796802744232625,1.2581453634084778,0.014
1.582077654821148,1.3283208020050181,0.013
1.920813217803564,1.1879699248120086,0.015
1.923219522922588,1.1478696741854288,0.014
1.9339771490501083,1.3182957393483288,0.02
1.935175002256233,1.5288220551378084,0.015
1.940041210055941,1.3684210526315619,0.014
1.9436206764925048,1.3383458646616364,0.015
1.9568473785979044,0.9674185463658755,0.017
1.962857745974028,1.2581453634085134,0.013
1.964034537462723,1.0476190476190341,0.012
