time,cont,conterr
-2.0,0.6240601503759504,0.021
-1.1094043319616782,0.7894736842105243,0.021
-1.0412835966248304,0.5639097744360813,0.023
-0.6862784671147502,1.2180451127819394,0.021
-0.6861906169931618,0.8796992481203016,0.02
-0.6839095633175696,1.3007518796992263,0.025
-0.6227997922334092,1.0150375939849408,0.02
-0.6216426286769501,0.8120300751879683,0.021
-0.61086496100184,1.0526315789473655,0.024
-0.5785440624210074,0.8571428571428572,0.021
-0.5523317020792333,1.3082706766917167,0.031
-0.547521182710434,1.112781954887208,0.022
-0.5463231819372087,1.210526315789449,0.023
-0.23073822688066437,0.593984962405989,0.022
-0.22948440397677494,0.6466165413533949,0.021
-0.22352165488925446,0.7067669172932107,0.022
-0.2223079403942212,0.5563909774435909,0.02
-0.1984878992010497,0.3984962406014807,0.019
-0.19014139325913715,0.3458646616541281,0.021
-0.19007640828695438,0.5413533834586368,0.019
0.1971905827673619,2.0,0.024
0.1984362485366975,1.6466165413533815,0.02
0.19959927372254027,1.6616541353383352,0.022
0.20196072521912445,1.8195488721804454,0.023
0.22827508870052338,1.6015037593984927,0.023
0.22947940301198733,1.5939849624060023,0.023
0.23066759844197815,1.6842105263157796,0.023
0.2629507188813469,1.6766917293232892,0.021
0.631109260828727,1.6090225563909564,0.02
0.6335665122068344,1.3533834586466051,0.023
0.6503107779862298,1.7443609022556221,0.024
0.6526584168947895,1.5789473684210216,0.022
0.6599077444863357,1.481203007518781,0.024
0.6622416367352226,1.729323308270668,0.03
0.6646986687517438,1.2631578947368278,0.028
0.6694349863654661,1.2255639097744297,0.031
0.6813687040073195,1.6390977443608912,0.031
0.6837674853326137,1.2406015037593838,0.026
0.689746346109422,1.706766917293224,0.032
0.7279521060287486,1.4736842105262906,0.026
1.04589913230833,1.5338345864661598,0.023
1.0531071743703562,1.1203007518796717,0.019
1.0578578487806323,0.7142857142857011,0.026
1.05904923514262,0.909774436090236,0.024
1.0602370997321806,0.8721804511278113,0.028
1.0674309731931104,1.1578947368420969,0.045
1.0722753126051772,1.2406015037593838,0.025
1.0734791042846528,1.315789473684207,0.023
1.074629595892406,1.3909774436090037,0.025
1.0758754978050948,0.8421052631579031,0.024
1.0782766022055958,1.1203007518796717,0.025
1.0818953887889164,0.8796992481203016,0.021
1.09486378950306,0.593984962405989,0.06
1.0950053688299795,0.6842105263157663,0.037
1.0950607078856676,0.8646616541353209,0.025
1.1021790298584433,0.9473684210526345,0.041
1.1022737413228918,1.421052631578938,0.05
1.1033948888227898,1.4736842105263173,0.047
1.1045500193887796,0.699248120300747,0.028
1.104671054244105,0.9624060150375882,0.034
1.1058591310030748,1.0827067669172736,0.031
1.108160050687625,1.2556390977443646,0.033
1.1082534999239133,1.0526315789473655,0.034
1.1093395219992872,1.3458646616541419,0.027
1.1094637657670567,0.6691729323308122,0.032
1.1105632611991418,1.4511278195488728,0.062
1.1106580541750022,0.5714285714285716,0.038
1.1118385048222907,0.796992481202988,0.026
1.1141209801527743,1.105263157894718,0.02
1.1153141142153022,1.2255639097744297,0.031
1.1165146430409578,1.278195488721782,0.026
1.1178187357100096,1.255639097744338,0.025
1.1213811487619432,1.413533834586448,0.032
1.1225173566936721,1.172932330827051,0.023
1.1237683698512857,0.9548872180451249,0.024
1.1261836320646137,1.0451127819548751,0.051
1.1273183092599934,1.0150375939849408,0.058
1.1297088579328016,0.8496240601503935,0.039
1.1308440541640774,1.8571428571428439,0.062
