,mjd,mag,magerr
0,51075.422538,18.619,0.009
5,51818.392194,18.858,0.01
10,51819.477358,18.811,0.011
15,51875.221175,18.754,0.009
20,52171.380334,18.682,0.01
25,52171.453640,18.608,0.009
30,52173.356582,18.638,0.01
35,52224.336696,18.658,0.01
40,52225.302051,18.595,0.009
45,52234.293202,18.68,0.01
50,52261.256559,18.679,0.009
55,52283.123930,18.733,0.011
60,52287.137054,18.713,0.01
65,52288.136473,18.646,0.009
70,52551.409760,18.92,0.011
75,52552.455747,18.911,0.011
80,52557.430107,18.912,0.011
85,52558.442633,18.9,0.011
90,52578.314242,18.816,0.01
95,52585.277223,18.911,0.011
100,52585.331437,18.929,0.011
105,52908.404675,18.911,0.011
110,52910.414098,18.88,0.01
115,52912.384113,18.931,0.011
120,52934.336580,18.924,0.011
125,52935.341269,18.928,0.011
130,52936.332507,18.909,0.011
135,52963.264347,18.921,0.01
140,52971.255262,18.892,0.011
145,53270.396644,18.949,0.016
150,53272.446506,18.921,0.011
155,53286.415225,18.973,0.013
160,53288.373717,18.971,0.011
165,53294.421390,-99.0,0.035
170,53296.368416,18.964,0.017
175,53298.418166,18.966,0.012
180,53302.369387,18.943,0.014
185,53312.325053,18.989,0.018
190,53314.326118,19.004,0.014
195,53319.313915,18.964,0.013
200,53351.186651,19.005,0.013
205,53616.430469,19.058,0.013
210,53622.443700,19.005,0.011
215,53626.406896,19.123,0.014
220,53627.400798,19.013,0.011
225,53628.391761,19.003,0.015
230,53634.393171,18.979,0.018
235,53638.434509,19.02,0.012
240,53639.438758,19.036,0.012
245,53640.398544,19.02,0.012
250,53641.437923,19.026,0.012
255,53643.441007,19.016,0.012
260,53646.459951,19.015,0.014
265,53657.278696,19.03,0.031
270,53657.396809,19.083,0.019
275,53663.381357,19.018,0.017
280,53663.460371,18.974,0.018
285,53664.395674,19.001,0.019
290,53665.359328,19.045,0.015
295,53665.460304,19.008,0.015
300,53666.451441,19.012,0.014
305,53668.370957,19.093,0.015
310,53668.448919,18.987,0.016
315,53669.354919,18.992,0.012
320,53669.458568,19.038,0.015
325,53670.375809,19.023,0.014
330,53670.454893,19.039,0.014
335,53671.439668,19.012,0.013
340,53673.343797,19.009,0.011
345,53674.339156,19.01,0.013
350,53675.340684,19.026,0.012
355,53676.428610,18.965,0.013
360,53679.400513,18.994,0.013
365,53680.348382,19.024,0.012
370,53681.392027,18.973,0.012
375,53683.406933,-99.0,0.042
380,53684.353524,18.954,0.03
385,53686.347813,19.037,0.018
390,53687.294840,19.123,0.039
395,53693.350272,19.025,0.021
400,53696.357745,18.981,0.013
405,53697.349052,18.939,0.012
410,53699.371109,18.977,0.012
415,53700.348008,18.946,0.012
420,53704.333593,18.989,0.012
425,53705.334679,18.949,0.012
430,53975.419743,18.773,0.016
435,53989.429670,18.813,0.017
440,53994.442782,18.773,0.027
445,53996.426467,-99.0,0.028
450,53997.453203,18.804,0.015
455,54000.405124,-99.0,0.019
460,54005.439570,18.84,0.034
465,54007.455236,18.785,0.018
470,54009.379043,18.775,0.017
475,54009.453414,18.771,0.015
480,54010.380546,18.758,0.021
485,54011.443470,18.775,0.014
490,54012.373382,18.72,0.016
495,54012.456368,18.782,0.034
500,54019.438587,18.786,0.017
505,54020.411467,18.737,0.02
510,54024.460984,18.712,0.032
515,54025.442544,18.792,0.018
520,54028.449228,18.715,0.03
525,54030.404687,18.727,0.016
530,54035.448696,18.749,0.022
535,54037.354149,18.727,0.019
540,54040.368713,18.719,0.013
545,54041.404153,18.735,0.012
550,54047.399294,18.767,0.056
555,54049.395115,18.743,0.015
560,54050.355278,18.743,0.025
565,54053.374799,18.728,0.026
570,54056.361100,18.779,0.023
575,54059.355357,18.771,0.027
580,54061.366606,-99.0,0.026
585,54062.360264,18.724,0.012
590,54064.356723,18.738,0.014
595,54068.340839,18.751,0.029
600,54346.436288,18.667,0.022
605,54348.440250,18.669,0.016
610,54357.398599,18.63,0.03
615,54358.396047,18.675,0.036
620,54365.429156,18.646,0.021
625,54376.443463,18.612,0.015
630,54381.448732,18.68,0.033
635,54382.428689,18.677,0.033
640,54385.446377,18.64,0.021
645,54386.441001,18.673,0.023
650,54387.446964,18.756,0.025
655,54388.445285,18.648,0.03
660,54390.439468,-99.0,0.113
665,54391.447742,18.712,0.026
670,54392.442858,18.586,0.036
675,54402.440047,18.675,0.032
680,54403.359138,18.675,0.017
685,54404.416859,-99.0,0.034
690,54406.352887,18.654,0.017
695,54409.357743,18.669,0.021
700,54412.378713,18.696,0.018
