,mjd,mag,magerr
0,51081.404271,17.759,0.007
5,51818.390242,17.551,0.006
10,51875.219240,17.581,0.006
15,52171.378342,17.687,0.006
20,52171.451666,17.679,0.006
25,52173.354800,17.713,0.006
30,52225.300100,17.701,0.006
35,52234.291252,17.718,0.006
40,52261.254609,17.698,0.006
45,52283.121980,17.698,0.007
50,52287.135104,17.704,0.008
55,52288.134523,17.686,0.006
60,52551.407810,17.661,0.006
65,52552.453798,17.649,0.006
70,52557.428157,17.654,0.007
75,52558.440682,17.621,0.007
80,52578.312292,17.609,0.006
85,52585.275272,17.605,0.006
90,52585.329486,17.63,0.007
95,52908.402725,17.856,0.007
100,52909.441905,17.85,0.007
105,52910.412147,17.827,0.006
110,52912.382164,17.859,0.007
115,52934.334630,17.862,0.007
120,52935.339317,17.821,0.007
125,52936.330556,17.858,0.007
130,52963.262396,17.822,0.007
135,52971.253311,17.863,0.006
140,53270.394647,17.904,0.013
145,53272.444555,17.926,0.007
150,53286.413275,17.916,0.007
155,53288.371767,17.91,0.007
160,53294.419439,-99.0,0.019
165,53296.366448,17.915,0.013
170,53298.416217,17.903,0.007
175,53302.367436,17.901,0.008
180,53312.322997,17.898,0.01
185,53314.324168,17.894,0.007
190,53319.311964,17.869,0.007
195,53616.428519,17.928,0.007
200,53622.441749,17.925,0.007
205,53626.404948,17.927,0.007
210,53627.398847,17.909,0.007
215,53628.389812,17.92,0.007
220,53634.391220,17.905,0.009
225,53638.432557,17.897,0.007
230,53639.436808,17.928,0.007
235,53640.396593,17.897,0.007
240,53641.435973,17.912,0.007
245,53643.439067,17.912,0.007
250,53646.457999,17.908,0.008
255,53657.394858,17.898,0.008
260,53663.379406,17.938,0.008
265,53664.393722,17.906,0.009
270,53665.357378,17.936,0.008
275,53665.458350,17.911,0.008
280,53666.449490,17.878,0.007
285,53668.369007,17.927,0.007
290,53668.446966,17.909,0.008
295,53669.352967,17.918,0.007
300,53669.456618,17.94,0.008
305,53670.373859,17.926,0.007
310,53670.452939,17.902,0.007
315,53671.437716,17.909,0.007
320,53673.341847,17.948,0.007
325,53674.337204,17.912,0.007
330,53675.338734,17.937,0.007
335,53676.426659,17.92,0.008
340,53677.359764,17.941,0.007
345,53679.398561,17.908,0.007
350,53680.346431,17.926,0.007
355,53681.390076,17.913,0.008
360,53683.404983,17.946,0.01
365,53684.351572,17.918,0.012
370,53686.345863,17.948,0.008
375,53687.292887,17.898,0.011
380,53687.403247,17.907,0.017
385,53693.348321,17.924,0.009
390,53694.363027,17.915,0.009
395,53696.355793,17.91,0.007
400,53697.347101,17.898,0.007
405,53699.369160,17.929,0.007
410,53700.346057,17.905,0.007
415,53704.331643,17.913,0.007
420,53705.332727,17.904,0.007
425,53975.417722,17.851,0.021
430,53989.427719,17.893,0.016
435,53994.440809,17.857,0.012
440,53996.424493,17.871,0.018
445,53997.451367,17.896,0.012
450,54000.403133,-99.0,0.014
455,54005.437676,17.853,0.01
460,54007.453414,17.9,0.018
465,54009.377094,17.898,0.017
470,54009.451455,17.872,0.011
475,54011.441568,17.9,0.013
480,54012.371416,17.847,0.012
485,54012.454385,17.912,0.013
490,54019.436532,17.881,0.014
495,54020.409463,17.886,0.009
500,54024.458979,17.872,0.017
505,54025.440558,17.898,0.012
510,54028.447323,17.847,0.014
515,54030.402727,17.845,0.014
520,54035.446722,17.907,0.017
525,54037.352289,17.861,0.015
530,54040.366736,17.851,0.01
535,54041.402337,17.86,0.011
540,54047.397624,17.9,0.035
545,54049.393168,17.847,0.011
550,54050.353342,17.849,0.013
555,54053.372827,-99.0,0.009
560,54056.359158,17.853,0.01
565,54059.353426,17.871,0.016
570,54061.364500,17.833,0.03
575,54062.358343,17.868,0.014
580,54064.354745,17.876,0.013
585,54068.338931,-99.0,0.13
590,54346.434450,17.86,0.015
595,54348.438284,17.857,0.014
600,54357.396623,17.868,0.02
605,54358.394127,17.894,0.015
610,54362.446428,17.879,0.014
615,54365.427204,17.875,0.015
620,54376.441649,17.836,0.017
625,54381.446741,17.869,0.013
630,54382.426706,17.849,0.012
635,54384.453498,17.864,0.015
640,54385.444426,17.853,0.012
645,54386.439171,17.879,0.013
650,54387.444941,17.871,0.025
655,54388.443335,17.869,0.015
660,54390.437332,-99.0,0.049
665,54391.445796,17.867,0.022
670,54392.440866,17.867,0.021
675,54402.438102,17.864,0.02
680,54403.357140,17.897,0.015
685,54404.414737,17.901,0.008
690,54406.351108,17.902,0.013
695,54409.355881,17.884,0.011
700,54412.376697,17.874,0.013
