,mjd,mag,magerr
0,51081.416961,18.546,0.009
5,51818.402927,18.476,0.009
10,51875.231920,18.387,0.008
15,52171.391022,18.451,0.009
20,52171.464344,18.45,0.008
25,52173.367375,18.441,0.009
30,52224.347478,18.413,0.009
35,52225.312792,18.427,0.008
40,52234.303945,18.422,0.009
45,52261.267299,18.405,0.008
50,52283.134674,18.398,0.009
55,52287.147797,18.402,0.008
60,52288.147216,18.396,0.008
65,52551.420501,18.417,0.008
70,52552.466488,18.419,0.008
75,52557.440847,18.407,0.009
80,52558.453374,18.394,0.008
85,52578.324984,18.415,0.008
90,52585.287963,18.416,0.008
95,52585.342177,18.404,0.009
100,52908.415415,18.396,0.008
105,52909.454596,18.4,0.008
110,52910.424840,18.387,0.008
115,52912.394855,18.369,0.008
120,52934.347323,18.397,0.009
125,52935.352008,18.39,0.008
130,52936.343248,18.397,0.008
135,52963.275088,18.387,0.008
140,53270.407326,18.455,0.017
145,53272.457245,18.447,0.008
150,53286.425965,18.456,0.009
155,53288.384459,18.442,0.008
160,53294.432131,18.448,0.008
165,53296.379163,18.456,0.016
170,53298.428907,18.464,0.009
175,53302.380128,18.45,0.01
180,53312.335664,18.452,0.012
185,53314.336859,18.473,0.009
190,53319.324656,18.456,0.009
195,53351.197393,18.452,0.009
200,53616.441210,18.517,0.009
205,53622.454440,18.527,0.009
210,53626.417639,18.532,0.009
215,53627.411538,18.526,0.009
220,53628.402503,18.526,0.01
225,53634.403912,18.526,0.012
230,53638.445248,18.517,0.01
235,53639.449499,18.553,0.009
240,53640.409284,18.518,0.009
245,53641.448664,18.541,0.01
250,53643.451758,18.545,0.009
255,53646.470690,18.537,0.009
260,53657.289436,-99.0,0.021
265,53657.407549,18.518,0.012
270,53657.453725,18.546,0.009
275,53663.392097,-99.0,0.013
280,53663.471107,18.521,0.014
285,53664.406413,18.508,0.022
290,53665.370069,18.55,0.01
295,53665.471038,18.515,0.012
300,53666.462180,18.548,0.01
305,53668.381699,18.527,0.011
310,53668.459655,18.551,0.012
315,53669.365659,18.545,0.01
320,53669.469307,18.56,0.011
325,53670.386550,18.535,0.012
330,53670.465627,18.555,0.013
335,53671.450405,18.552,0.01
340,53673.354538,18.55,0.009
345,53674.349896,18.541,0.01
350,53675.351426,18.544,0.009
355,53676.439348,18.568,0.011
360,53679.411252,18.555,0.01
365,53680.359123,18.55,0.009
370,53681.402766,18.558,0.01
375,53683.417672,18.563,0.017
380,53684.364264,-99.0,0.015
385,53686.358554,18.555,0.012
390,53687.305579,18.581,0.016
395,53693.361012,18.546,0.015
400,53694.375725,18.559,0.013
405,53696.368484,18.559,0.011
410,53697.359792,18.552,0.01
415,53699.381849,18.564,0.01
420,53700.358747,18.531,0.01
425,53704.344334,18.55,0.01
430,53705.345418,18.574,0.01
435,53975.430483,18.501,0.019
440,53989.440410,18.481,0.019
445,53994.453485,18.473,0.014
450,53996.437161,18.475,0.019
455,53997.463941,18.506,0.014
460,54000.415867,18.498,0.015
465,54005.450318,18.495,0.014
470,54007.465980,18.531,0.02
475,54009.389733,18.513,0.014
480,54009.464161,18.492,0.015
485,54010.391302,18.485,0.018
490,54011.454247,18.497,0.011
495,54012.384169,18.487,0.014
500,54012.467034,18.515,0.023
505,54019.449259,18.48,0.012
510,54020.422270,18.495,0.015
515,54024.471749,18.504,0.019
520,54025.453248,18.501,0.018
525,54028.460010,18.491,0.014
530,54030.415432,18.467,0.015
535,54035.459386,18.511,0.02
540,54037.364932,18.493,0.015
545,54040.379457,18.505,0.014
550,54041.414887,18.487,0.016
555,54047.409933,18.454,0.02
560,54049.405986,18.531,0.018
565,54050.366108,18.539,0.017
570,54053.385493,-99.0,0.012
575,54056.371853,18.473,0.018
580,54059.366338,18.49,0.027
585,54061.377243,18.53,0.034
590,54062.370990,18.504,0.019
595,54064.367491,18.489,0.016
600,54068.351737,18.454,0.037
605,54346.447083,18.385,0.02
610,54348.450997,18.442,0.013
615,54357.409342,18.443,0.031
620,54358.406843,18.43,0.018
625,54362.459115,18.446,0.02
630,54365.439871,18.391,0.019
635,54376.454201,18.401,0.011
640,54381.459473,18.397,0.014
645,54382.439384,18.398,0.024
650,54385.457173,18.395,0.011
655,54386.451744,18.429,0.014
660,54387.457673,18.405,0.029
665,54388.456025,18.389,0.014
670,54390.450095,18.415,0.02
675,54391.458680,18.402,0.017
680,54392.453599,18.384,0.019
685,54402.450904,18.447,0.016
690,54403.369808,18.382,0.014
695,54404.427533,18.417,0.01
700,54406.363634,18.402,0.013
705,54409.368488,18.384,0.018
710,54412.389450,18.41,0.021
