,mjd,mag,magerr
0,51075.431537,19.94,0.021
5,51818.401201,19.962,0.021
10,51875.230177,19.93,0.023
15,52171.389311,20.019,0.021
20,52171.462599,19.975,0.02
25,52173.365543,20.026,0.025
30,52224.345699,19.993,0.02
35,52225.311050,19.965,0.021
40,52234.302201,19.994,0.024
45,52261.265556,19.971,0.021
50,52283.132930,20.021,0.031
55,52287.146053,20.004,0.022
60,52288.145472,20.016,0.023
65,52551.418758,19.935,0.022
70,52552.464746,19.943,0.021
75,52557.439104,19.95,0.022
80,52558.451632,19.932,0.02
85,52578.323240,19.912,0.019
90,52585.286221,19.903,0.021
95,52585.340434,19.931,0.019
100,52908.413672,20.12,0.024
105,52909.452855,20.077,0.02
110,52910.423096,20.077,0.022
115,52912.393111,20.097,0.023
120,52934.345580,20.068,0.023
125,52935.350266,20.067,0.023
130,52936.341505,20.079,0.023
135,52963.273344,20.08,0.021
140,53270.405568,20.072,0.02
145,53272.455503,20.035,0.023
150,53286.424223,20.086,0.024
155,53288.382715,20.066,0.022
160,53294.430387,20.051,0.024
165,53296.377411,20.078,0.03
170,53298.427163,20.018,0.028
175,53302.378384,20.01,0.031
180,53312.333957,20.065,0.031
185,53314.335114,20.017,0.026
190,53319.322913,20.073,0.032
195,53351.195649,20.048,0.026
200,53616.439467,20.059,0.023
205,53622.452697,20.008,0.019
210,53626.415895,19.947,0.026
215,53627.409796,19.975,0.024
220,53628.400759,19.966,0.028
225,53634.402169,19.987,0.045
230,53638.443506,20.018,0.025
235,53639.447756,20.03,0.023
240,53640.407541,20.038,0.025
245,53641.446921,19.966,0.024
250,53643.450016,20.002,0.025
255,53646.468949,19.974,0.021
260,53657.287695,19.897,0.06
265,53657.405806,19.932,0.037
270,53657.451972,19.968,0.025
275,53663.390354,19.963,0.041
280,53663.469366,20.017,0.05
285,53664.404671,20.027,0.047
290,53665.368326,19.943,0.028
295,53665.469298,19.972,0.034
300,53666.460438,19.991,0.031
305,53668.379955,20.012,0.033
310,53668.457914,19.984,0.034
315,53669.363916,20.03,0.027
320,53669.467565,19.935,0.032
325,53670.384807,20.009,0.062
330,53670.463887,19.916,0.038
335,53671.448665,19.958,0.026
340,53673.352795,20.005,0.02
345,53674.348154,20.01,0.031
350,53675.349682,20.022,0.026
355,53676.437607,20.02,0.025
360,53679.409511,20.034,0.032
365,53680.357380,20.011,0.023
370,53681.401024,19.981,0.024
375,53683.415930,19.966,0.051
380,53684.362522,19.955,0.058
385,53686.356811,19.952,0.039
390,53687.303836,20.063,0.062
395,53687.414194,20.046,0.077
400,53693.359270,19.907,0.043
405,53696.366744,19.986,0.025
410,53697.358049,20.033,0.028
415,53699.380105,19.999,0.025
420,53700.357005,19.959,0.028
425,53704.342590,19.965,0.029
430,53705.343676,19.949,0.028
435,53989.438714,19.899,0.031
440,53994.451690,19.877,0.02
445,53996.435420,19.846,0.033
450,53997.462228,19.86,0.021
455,54000.414063,19.899,0.025
460,54005.448616,19.823,0.022
465,54007.464230,19.886,0.024
470,54009.387997,19.863,0.021
475,54009.462394,19.799,0.023
480,54010.389552,19.807,0.02
485,54011.452468,19.899,0.019
490,54012.382392,19.821,0.024
495,54012.465308,19.868,0.027
500,54019.447488,19.873,0.033
505,54020.420472,19.831,0.034
510,54024.469984,19.769,0.027
515,54025.451492,19.833,0.024
520,54028.458235,19.739,0.024
525,54030.413657,19.834,0.03
530,54035.457646,19.853,0.032
535,54037.363156,19.835,0.027
540,54040.377754,19.809,0.019
545,54041.413220,19.753,0.021
550,54047.408222,19.772,0.04
555,54049.404119,19.762,0.029
560,54050.364313,19.764,0.04
565,54053.383752,19.759,0.026
570,54056.370103,19.778,0.023
575,54059.364369,19.777,0.024
580,54061.375457,19.691,0.026
585,54062.369282,19.746,0.022
590,54064.365689,19.732,0.023
595,54068.349883,19.808,0.028
600,54346.445276,19.625,0.024
605,54348.449244,19.647,0.021
610,54357.407561,19.648,0.023
615,54358.405090,19.662,0.022
620,54362.457497,19.604,0.022
625,54365.438124,19.672,0.016
630,54376.452486,19.665,0.02
635,54381.457686,19.642,0.018
640,54382.437626,19.564,0.048
645,54385.455387,19.63,0.017
650,54386.449995,-99.0,0.042
655,54387.455895,19.692,0.024
660,54388.454286,19.674,0.019
665,54390.448300,19.687,0.031
670,54391.456705,19.643,0.031
675,54392.451881,19.679,0.024
680,54402.449049,19.696,0.041
685,54403.368100,19.635,0.026
690,54404.425589,19.672,0.037
695,54406.361884,19.704,0.021
700,54409.366739,19.721,0.019
705,54412.387647,19.685,0.027
