,mjd,mag,magerr
0,51075.411122,18.267,0.008
5,51818.380794,18.459,0.008
10,51819.465961,18.508,0.01
15,51875.209790,18.503,0.009
20,52170.431774,18.514,0.009
25,52171.368876,18.518,0.009
30,52173.345142,18.514,0.009
35,52224.325287,18.499,0.009
40,52225.290636,18.555,0.009
45,52234.281790,18.479,0.009
50,52261.245145,18.458,0.008
55,52283.112516,18.441,0.009
60,52287.125640,18.423,0.008
65,52288.125060,18.498,0.009
70,52551.398346,18.422,0.008
75,52552.444334,18.359,0.009
80,52557.418694,18.368,0.008
85,52558.431221,18.423,0.009
90,52578.302829,18.416,0.008
95,52585.265808,18.432,0.008
100,52908.393262,18.383,0.008
105,52909.432443,18.442,0.008
110,52910.402686,18.439,0.009
115,52912.372701,18.413,0.008
120,52934.325168,18.406,0.008
125,52935.329856,18.432,0.009
130,52936.321094,18.387,0.008
135,52963.252932,18.467,0.008
140,52971.243848,18.471,0.009
145,53270.385149,18.356,0.014
150,53272.435092,18.382,0.011
155,53286.403814,18.341,0.008
160,53288.362305,18.371,0.008
165,53294.409977,18.261,0.036
170,53296.356983,18.355,0.015
175,53298.406754,18.363,0.009
180,53302.357974,18.372,0.009
185,53312.313530,18.328,0.014
190,53314.314705,18.362,0.009
195,53319.302502,18.382,0.009
200,53351.175237,18.432,0.009
205,53616.419058,18.378,0.008
210,53622.432286,18.449,0.008
215,53626.395486,18.335,0.008
220,53627.389385,18.431,0.008
225,53628.380351,18.376,0.01
230,53634.381758,18.452,0.013
235,53638.423094,18.445,0.009
240,53639.427347,18.371,0.008
245,53640.387130,18.436,0.009
250,53641.426513,18.352,0.008
255,53646.448538,18.459,0.014
260,53655.359304,18.455,0.009
265,53657.267282,18.471,0.018
270,53657.385398,18.386,0.012
275,53663.369945,18.361,0.011
280,53663.448957,18.459,0.013
285,53664.384259,18.44,0.011
290,53665.347917,18.384,0.01
295,53665.448890,18.441,0.011
300,53666.440031,18.39,0.01
305,53668.359545,18.409,0.009
310,53668.437506,18.429,0.012
315,53669.343504,18.445,0.012
320,53669.447159,18.368,0.01
325,53670.364397,18.374,0.009
330,53670.443479,18.43,0.01
335,53671.428255,18.448,0.009
340,53673.332384,18.379,0.008
345,53674.327741,18.44,0.009
350,53675.329272,18.391,0.008
355,53676.417198,18.432,0.009
360,53677.350302,18.371,0.008
365,53679.389100,18.462,0.01
370,53680.336970,18.373,0.008
375,53681.380614,18.45,0.009
380,53683.395522,18.379,0.009
385,53684.342110,18.453,0.013
390,53686.336401,18.371,0.012
395,53687.283423,18.448,0.015
400,53687.393788,18.403,0.027
405,53693.338861,18.39,0.012
410,53697.337639,18.423,0.009
415,53699.359699,18.377,0.009
420,53700.336595,18.442,0.009
425,53704.322182,18.365,0.008
430,53975.408291,18.372,0.017
435,53989.418227,18.269,0.014
440,53994.431293,18.336,0.012
445,53996.415035,18.32,0.016
450,53997.441811,18.235,0.01
455,54000.393656,18.27,0.011
460,54005.428180,18.336,0.014
465,54007.443801,18.268,0.024
470,54009.367573,18.285,0.012
475,54009.441981,18.329,0.016
480,54010.369110,18.355,0.012
485,54011.432058,18.277,0.011
490,54012.361959,18.362,0.013
495,54012.444883,18.251,0.013
500,54020.400085,18.368,0.014
505,54024.449603,18.356,0.014
510,54025.431066,18.285,0.016
515,54028.437834,18.386,0.017
520,54030.393253,18.354,0.011
525,54035.437267,18.37,0.016
530,54037.342750,18.357,0.013
535,54040.357262,18.342,0.014
540,54041.392746,18.358,0.015
545,54047.387856,18.357,0.042
550,54049.383760,18.361,0.014
555,54053.363370,-99.0,0.018
560,54056.349673,18.342,0.015
565,54059.343963,18.334,0.013
570,54061.355055,18.355,0.015
575,54062.348846,18.35,0.012
580,54064.345401,18.358,0.015
585,54068.329440,18.358,0.026
590,54346.424841,18.333,0.012
595,54348.428816,18.321,0.015
600,54357.387149,18.362,0.017
605,54358.384663,18.33,0.016
610,54362.436955,18.342,0.015
615,54365.417705,18.32,0.012
620,54376.432043,18.358,0.013
625,54381.437270,18.314,0.02
630,54382.417191,18.377,0.016
635,54384.443934,18.271,0.014
640,54385.434984,18.374,0.015
645,54386.429615,18.302,0.013
650,54387.435467,18.395,0.021
655,54388.433845,18.306,0.011
660,54390.427971,18.345,0.02
665,54391.436304,18.361,0.022
670,54392.431420,18.278,0.023
675,54402.428700,18.345,0.018
680,54403.347638,18.316,0.015
685,54404.405186,-99.0,0.777
690,54406.341500,18.291,0.017
695,54409.346308,18.306,0.011
700,54412.367238,18.308,0.01
