,mjd,mag,magerr
0,51075.435413,20.285,0.029
5,51818.405041,19.831,0.02
10,51875.234076,19.85,0.021
15,52171.393169,20.292,0.026
20,52171.466498,20.28,0.026
25,52173.369429,20.251,0.031
30,52224.349563,20.215,0.023
35,52225.314923,20.142,0.025
40,52234.306074,20.187,0.028
45,52261.269428,20.139,0.023
50,52283.136803,20.085,0.031
55,52287.149926,20.066,0.024
60,52288.149346,20.126,0.025
65,52551.422631,20.138,0.028
70,52552.468617,20.096,0.023
75,52557.442976,20.059,0.025
80,52558.455504,20.045,0.023
85,52578.327113,20.128,0.022
90,52585.290093,20.143,0.025
95,52585.344306,20.11,0.021
100,52908.417545,20.156,0.026
105,52909.456725,20.181,0.024
110,52910.426968,20.188,0.029
115,52912.396984,20.167,0.023
120,52934.349453,20.22,0.028
125,52935.354139,20.331,0.033
130,52936.345378,20.274,0.026
135,52963.277218,20.401,0.029
140,53270.409492,20.089,0.019
145,53272.459374,20.043,0.022
150,53286.428095,20.168,0.026
155,53288.386590,20.094,0.023
160,53294.434260,20.185,0.033
165,53296.381293,20.142,0.036
170,53298.431037,20.053,0.029
175,53302.382258,20.103,0.03
180,53312.337815,20.099,0.03
185,53314.338988,20.115,0.03
190,53319.326785,20.034,0.03
195,53351.199523,20.112,0.027
200,53616.443340,20.175,0.029
205,53622.456571,20.195,0.021
210,53626.419767,20.114,0.027
215,53627.413669,20.179,0.025
220,53628.404632,20.135,0.033
225,53634.406041,20.088,0.047
230,53638.447378,20.154,0.034
235,53639.451628,20.017,0.025
240,53640.411415,20.121,0.029
245,53641.450793,20.106,0.029
250,53643.453888,20.089,0.03
255,53646.472823,20.148,0.028
260,53657.409678,20.17,0.039
265,53657.455842,20.106,0.027
270,53663.394227,20.005,0.044
275,53663.473237,20.102,0.052
280,53664.408543,19.807,0.138
285,53665.372199,20.097,0.032
290,53665.473170,20.146,0.05
295,53668.383828,20.104,0.035
300,53668.461786,20.016,0.041
305,53669.367790,20.046,0.031
310,53669.471434,20.057,0.036
315,53670.388679,19.995,0.041
320,53670.467756,20.089,0.049
325,53671.452534,20.127,0.028
330,53673.356668,20.041,0.021
335,53674.352028,20.109,0.031
340,53675.353555,20.003,0.027
345,53676.441477,20.133,0.034
350,53676.473200,20.131,0.095
355,53679.413382,20.061,0.03
360,53680.361252,20.084,0.024
365,53681.404896,20.064,0.029
370,53683.419801,20.088,0.064
375,53684.366394,20.08,0.042
380,53686.360683,20.036,0.04
385,53687.307710,19.927,0.054
390,53693.363142,20.009,0.049
395,53696.370614,20.041,0.032
400,53697.361922,20.118,0.03
405,53699.383977,20.003,0.026
410,53700.360877,20.115,0.028
415,53704.346463,20.027,0.027
420,53705.347549,20.021,0.032
425,53975.432580,20.394,0.072
430,53989.442532,20.245,0.043
435,53994.455581,20.303,0.03
440,53996.439317,20.24,0.034
445,53997.466092,20.278,0.025
450,54000.417970,20.293,0.032
455,54005.452443,20.287,0.028
460,54007.468126,20.27,0.026
465,54009.391906,20.196,0.022
470,54009.466263,20.308,0.028
475,54010.393408,20.254,0.025
480,54011.456412,20.244,0.022
485,54012.386241,20.379,0.039
490,54012.469199,20.309,0.034
495,54019.451356,20.271,0.055
500,54020.424295,20.25,0.042
505,54024.473810,20.244,0.042
510,54025.455395,20.252,0.035
515,54028.462096,20.266,0.032
520,54030.417529,20.249,0.027
525,54035.461538,20.264,0.035
530,54037.367018,20.294,0.026
535,54040.381519,20.244,0.026
540,54041.417048,20.271,0.03
545,54047.412045,20.381,0.073
550,54049.407988,20.274,0.049
555,54053.387846,20.252,0.035
560,54056.373956,20.28,0.031
565,54059.368259,20.2,0.034
570,54062.373125,-99.0,0.026
575,54064.369590,20.207,0.031
580,54068.353696,20.14,0.038
585,54346.449122,20.101,0.035
590,54348.453126,20.145,0.027
595,54357.411441,20.166,0.032
600,54358.408923,20.148,0.027
605,54362.461261,20.149,0.023
610,54365.441992,20.078,0.021
615,54376.456364,20.16,0.035
620,54381.461560,20.132,0.028
625,54382.441479,20.101,0.028
630,54385.459278,20.193,0.027
635,54386.453891,20.169,0.021
640,54387.459743,20.137,0.029
645,54388.458148,20.016,0.023
650,54390.452189,-99.0,0.041
655,54391.460626,20.039,0.048
660,54392.455721,20.053,0.026
665,54402.452930,20.146,0.05
670,54404.429516,20.032,0.14
675,54406.365788,20.096,0.022
680,54409.370640,20.09,0.023
685,54412.391573,20.128,0.034
