,mjd,mag,magerr
0,51081.408267,19.398,0.016
5,51818.394207,19.091,0.011
10,51875.223186,19.053,0.012
15,52171.382313,19.085,0.012
20,52171.455609,19.066,0.012
25,52173.358566,19.079,0.013
30,52224.338778,19.122,0.012
35,52225.304059,19.095,0.012
40,52234.295211,19.183,0.013
45,52261.258567,19.125,0.012
50,52283.125940,19.112,0.013
55,52287.139062,19.121,0.013
60,52288.138481,19.093,0.012
65,52551.411768,19.106,0.012
70,52552.457756,19.152,0.012
75,52557.432114,19.163,0.013
80,52558.444640,19.12,0.012
85,52578.316249,19.105,0.011
90,52585.279230,19.124,0.013
95,52585.333444,19.134,0.011
100,52908.406683,19.058,0.011
105,52909.445862,19.014,0.011
110,52910.416105,19.0,0.012
115,52912.386122,19.03,0.011
120,52934.338589,19.031,0.011
125,52935.343276,18.995,0.012
130,52936.334515,19.046,0.011
135,52963.266355,19.044,0.011
140,53270.398626,19.137,0.018
145,53272.448513,19.171,0.013
150,53286.417233,19.1,0.013
155,53288.375727,19.129,0.012
160,53294.423397,19.156,0.018
165,53296.370444,19.103,0.019
170,53298.420174,19.131,0.013
175,53302.371396,19.129,0.015
180,53312.326958,19.121,0.016
185,53314.328126,19.164,0.014
190,53319.315922,19.136,0.014
195,53351.188659,19.066,0.013
200,53616.432478,19.026,0.012
205,53622.445708,19.018,0.011
210,53626.408906,19.046,0.014
215,53627.402805,19.02,0.011
220,53628.393770,19.029,0.014
225,53634.395178,18.981,0.017
230,53638.436514,18.994,0.012
235,53639.440767,19.066,0.012
240,53640.400551,19.01,0.012
245,53641.439932,19.039,0.012
250,53643.443026,18.972,0.012
255,53646.461958,19.022,0.012
260,53657.280704,18.97,0.028
265,53657.398816,19.014,0.019
270,53663.383364,19.055,0.016
275,53663.462375,19.013,0.02
280,53664.397680,19.015,0.019
285,53665.361337,19.034,0.014
290,53665.462307,19.005,0.016
295,53666.453447,19.008,0.015
300,53668.372965,19.074,0.015
305,53668.450924,18.975,0.015
310,53669.356925,18.975,0.013
315,53669.460575,19.078,0.016
320,53670.377818,19.049,0.013
325,53670.456896,19.004,0.014
330,53671.441673,18.966,0.013
335,53673.345805,19.045,0.011
340,53674.341163,18.979,0.013
345,53675.342692,19.027,0.012
350,53676.430615,18.963,0.014
355,53679.402519,18.937,0.013
360,53680.350390,19.03,0.012
365,53681.394033,18.983,0.012
370,53683.408940,19.057,0.038
375,53684.355531,18.978,0.036
380,53686.349822,19.029,0.018
385,53687.296845,18.892,0.026
390,53687.407204,19.046,0.033
395,53693.352280,19.017,0.019
400,53694.366987,18.955,0.017
405,53696.359751,19.013,0.014
410,53697.351060,18.957,0.013
415,53699.373116,19.036,0.013
420,53700.350014,18.935,0.012
425,53704.335601,18.989,0.012
430,53705.336685,18.979,0.013
435,53975.421713,18.951,0.014
440,53989.431793,18.999,0.018
445,53994.444689,18.931,0.018
450,53996.428447,18.925,0.017
455,53997.455256,18.994,0.016
460,54000.407071,19.009,0.017
465,54005.441596,18.893,0.017
470,54007.457213,19.007,0.019
475,54009.380995,18.99,0.017
480,54009.455412,18.931,0.017
485,54010.382577,18.957,0.017
490,54011.445548,18.974,0.015
495,54012.375406,18.95,0.02
500,54012.458288,19.047,0.016
505,54019.440490,19.011,0.017
510,54020.413453,18.897,0.017
515,54024.462968,18.941,0.017
520,54025.444594,18.974,0.019
525,54028.451241,18.915,0.017
530,54030.406670,18.918,0.012
535,54035.450708,18.945,0.02
540,54037.356164,18.92,0.016
545,54040.370670,18.938,0.018
550,54041.406178,18.906,0.018
555,54047.401261,18.94,0.037
560,54049.397081,18.897,0.019
565,54050.357298,18.925,0.02
570,54053.377127,-99.0,0.014
575,54056.363105,18.946,0.017
580,54059.357378,18.916,0.015
585,54061.368462,18.948,0.026
590,54062.362259,18.936,0.016
595,54064.358727,18.936,0.016
600,54068.342846,18.919,0.017
605,54346.438319,18.969,0.016
610,54348.442232,18.96,0.014
615,54357.400570,18.915,0.03
620,54358.398078,18.96,0.021
625,54362.450403,18.899,0.017
630,54365.431155,18.914,0.017
635,54376.445491,18.914,0.016
640,54381.450694,18.955,0.015
645,54382.430587,18.934,0.035
650,54385.448397,18.952,0.02
655,54386.443060,18.991,0.016
660,54387.448910,18.921,0.016
665,54388.447365,18.978,0.015
670,54390.441288,18.935,0.032
675,54391.449709,18.939,0.021
680,54392.444982,18.972,0.022
685,54402.442090,18.874,0.024
690,54403.361066,18.938,0.019
695,54404.418827,-99.0,0.11
700,54406.354949,18.957,0.017
705,54409.359812,18.955,0.015
710,54412.380653,18.926,0.017
