,mjd,mag,magerr
51081.404271,17.759,0.007
51818.390242,17.551,0.006
51875.21924,17.581,0.006
52171.378342,17.687,0.006
52171.451666,17.679,0.006
52173.3548,17.713,0.006
52225.3001,17.701,0.006
52234.291252,17.718,0.006
52261.254609,17.698,0.006
52283.12198,17.698,0.007
52287.135104,17.704,0.008
52288.134523,17.686,0.006
52551.40781,17.661,0.006
52552.453798,17.649,0.006
52557.428157,17.654,0.007
52558.440682,17.621,0.007
52578.312292,17.609,0.006
52585.275272,17.605,0.006
52585.329486,17.63,0.007
52908.402725,17.856,0.007
52909.441905,17.85,0.007
52910.412147,17.827,0.006
52912.382164,17.859,0.007
52934.33463,17.862,0.007
52935.339317,17.821,0.007
52936.330556,17.858,0.007
52963.262396,17.822,0.007
52971.253311,17.863,0.006
53270.394647,17.904,0.013
53272.444555,17.926,0.007
53286.413275,17.916,0.007
53288.371767,17.91,0.007
53296.366448,17.915,0.013
53298.416217,17.903,0.007
53302.367436,17.901,0.008
53312.322997,17.898,0.01
53314.324168,17.894,0.007
53319.311964,17.869,0.007
53616.428519,17.928,0.007
53622.441749,17.925,0.007
53626.404948,17.927,0.007
53627.398847,17.909,0.007
53628.389812,17.92,0.007
53634.39122,17.905,0.009
53638.432557,17.897,0.007
53639.436808,17.928,0.007
53640.396593,17.897,0.007
53641.435973,17.912,0.007
53643.439067,17.912,0.007
53646.457999,17.908,0.008
53657.394858,17.898,0.008
53663.379406,17.938,0.008
53664.393722,17.906,0.009
53665.357378,17.936,0.008
53665.45835,17.911,0.008
53666.44949,17.878,0.007
53668.369007,17.927,0.007
53668.446966,17.909,0.008
53669.352967,17.918,0.007
53669.456618,17.94,0.008
53670.373859,17.926,0.007
53670.452939,17.902,0.007
53671.437716,17.909,0.007
53673.341847,17.948,0.007
53674.337204,17.912,0.007
53675.338734,17.937,0.007
53676.426659,17.92,0.008
53677.359764,17.941,0.007
53679.398561,17.908,0.007
53680.346431,17.926,0.007
53681.390076,17.913,0.008
53683.404983,17.946,0.01
53684.351572,17.918,0.012
53686.345863,17.948,0.008
53687.292887,17.898,0.011
53687.403247,17.907,0.017
53693.348321,17.924,0.009
53694.363027,17.915,0.009
53696.355793,17.91,0.007
53697.347101,17.898,0.007
53699.36916,17.929,0.007
53700.346057,17.905,0.007
53704.331643,17.913,0.007
53705.332727,17.904,0.007
53975.417722,17.851,0.021
53989.427719,17.893,0.016
53994.440809,17.857,0.012
53996.424493,17.871,0.018
53997.451367,17.896,0.012
54005.437676,17.853,0.01
54007.453414,17.9,0.018
54009.377094,17.898,0.017
54009.451455,17.872,0.011
54011.441568,17.9,0.013
54012.371416,17.847,0.012
54012.454385,17.912,0.013
54019.436532,17.881,0.014
54020.409463,17.886,0.009
54024.458979,17.872,0.017
54025.440558,17.898,0.012
54028.447323,17.847,0.014
54030.402727,17.845,0.014
54035.446722,17.907,0.017
54037.352289,17.861,0.015
54040.366736,17.851,0.01
54041.402337,17.86,0.011
54047.397624,17.9,0.035
54049.393168,17.847,0.011
54050.353342,17.849,0.013
54056.359158,17.853,0.01
54059.353426,17.871,0.016
54061.3645,17.833,0.03
54062.358343,17.868,0.014
54064.354745,17.876,0.013
54346.43445,17.86,0.015
54348.438284,17.857,0.014
54357.396623,17.868,0.02
54358.394127,17.894,0.015
54362.446428,17.879,0.014
54365.427204,17.875,0.015
54376.441649,17.836,0.017
54381.446741,17.869,0.013
54382.426706,17.849,0.012
54384.453498,17.864,0.015
54385.444426,17.853,0.012
54386.439171,17.879,0.013
54387.444941,17.871,0.025
54388.443335,17.869,0.015
54391.445796,17.867,0.022
54392.440866,17.867,0.021
54402.438102,17.864,0.02
54403.35714,17.897,0.015
54404.414737,17.901,0.008
54406.351108,17.902,0.013
54409.355881,17.884,0.011
54412.376697,17.874,0.013
